#{"t_start": 1777875437.321235, "env_id": "None"}
r,l,t
-179.31398,48,23.640372
-483.68533,44,23.672384
-188.66554,27,23.701903
-182.34918,30,23.731914
-472.21692,92,23.770432
-177.60669,26,23.798453
-674.6038,65,23.837966
-230.5769,47,23.867987
-312.37137,29,23.911506
-380.2453,22,23.941015
-369.2162,20,23.970532
-362.0002,52,24.000543
-301.97403,46,24.041556
-184.7461,58,24.041556
-641.12177,80,24.08408
-294.1576,30,24.119583
-214.88725,22,24.149592
-449.3317,46,24.209137
-193.90538,33,24.209137
-165.09644,31,24.249144
-308.2189,39,24.280158
-303.9796,76,24.309673
-596.2817,85,24.349423
-176.49347,21,24.378929
-253.12976,32,24.421969
-297.38962,25,24.421969
-196.10963,29,24.46148
-306.65607,30,24.50151
-204.02126,25,24.536028
-177.93356,46,24.569036
-296.98712,29,24.610043
-217.40778,38,24.610043
-165.41177,23,24.640566
-346.8685,28,24.701624
-196.32205,50,24.740633
-143.61871,43,24.77764
-719.5919,98,24.809306
-184.47258,39,24.858831
-163.9798,64,24.891341
-434.9376,35,24.938357
-211.24576,49,24.968864
-179.07529,45,24.996879
-196.20743,49,25.051912
-360.46378,49,25.077935
-815.4853,136,25.114445
-303.84225,21,25.163964
-188.2425,58,25.163964
-219.28426,70,25.197976
-276.107,49,25.236495
-148.76892,55,25.26751
-275.19482,28,25.298523
-164.2076,32,25.330033
-532.99506,112,25.379047
-152.98358,37,25.411065
-496.1119,54,25.44359
-370.47388,34,25.471103
-311.13293,33,25.501623
-150.15918,30,25.549155
-210.6628,21,25.579168
-169.12672,34,25.616204
-163.29123,31,25.616204
-487.13788,74,25.654585
-271.62415,18,25.693102
-374.4395,48,25.72262
-433.56647,44,25.773669
-304.90277,31,25.805673
-346.1359,60,25.834685
-360.51764,33,25.86769
-230.0781,49,25.900219
-280.2469,20,25.947737
-275.11722,32,25.990254
-338.8622,29,25.990754
-263.80704,41,26.023384
-491.08545,104,26.064722
-253.39854,17,26.099751
-223.1207,34,26.147287
-245.53458,31,26.185326
-215.02592,16,26.222844
-462.8488,73,26.259384
-363.4759,40,26.290406
-172.78342,62,26.32743
-241.36397,36,26.365942
-392.8352,41,26.418477
-426.17392,48,26.447979
-168.8466,30,26.487494
-564.2374,62,26.530623
-393.36844,71,26.574651
-160.95282,43,26.574651
-224.11603,34,26.605654
-589.85956,127,26.640671
-418.49536,62,26.676688
-332.38925,45,26.711701
-170.63559,40,26.750718
-265.75693,17,26.785229
-286.10858,46,26.81727
-347.89352,35,26.81727
-340.0902,48,26.852318
-246.34251,16,26.886825
-193.36044,23,26.928879
-373.7936,27,26.972458
-347.02368,36,27.006477
-480.11337,72,27.04901
-220.52621,47,27.04901
-182.24432,62,27.09603
-161.36414,27,27.126543
-224.86961,26,27.167551
-470.80472,36,27.196561
-344.32205,35,27.25307
-146.77017,43,27.291616
-280.77145,37,27.331636
-177.28712,63,27.331636
-257.8937,24,27.37966
-307.40012,51,27.411177
-530.6134,110,27.445688
-268.93643,32,27.481206
-239.03368,35,27.515715
-190.5699,31,27.554413
-246.67427,34,27.590925
-245.77025,40,27.629941
-398.14124,34,27.666453
-377.351,82,33.667003
-151.6355,42,33.708034
-172.7012,36,33.749218
-110.18158,67,33.782356
-180.04483,53,33.812386
-10108.494,857,33.873589
-165.24542,43,33.908593
-389.56628,104,33.948113
-187.55383,39,33.975626
-282.58972,30,34.009137
-207.22624,34,34.054157
-212.04453,44,34.102682
-351.62418,58,34.142734
-258.66483,49,34.178249
-192.51488,51,34.212263
-222.80527,51,34.244778
-162.74408,83,34.288807
-162.9943,45,34.288807
-242.55106,28,34.324327
-190.70895,31,34.371515
-162.50781,39,34.402522
-252.56453,23,34.432534
-317.65854,37,34.459044
-178.41922,27,34.487059
-210.026,40,34.52157
-173.26968,33,34.551081
-190.43608,19,34.583103
-227.89133,30,34.624629
-208.49748,41,34.663644
-172.62668,19,34.663644
-192.34505,37,34.663644
-205.86563,40,34.702707
-224.07913,21,34.735715
-154.3563,61,34.770228
-211.38481,35,34.811749
-274.71524,36,34.844263
-141.86513,31,34.881269
-198.01987,28,34.913775
-266.5389,17,34.951281
-180.02428,38,34.993807
-139.91118,73,35.034324
-283.37668,31,35.063333
-184.39552,46,35.096353
-846.06256,109,35.124863
-172.44586,37,35.169383
-216.23518,28,35.200396
-154.67172,50,35.230903
-156.9446,33,35.263918
-181.14517,30,35.299427
-248.27008,78,35.336459
-216.56064,48,35.373478
-257.45752,22,35.408495
-211.87437,41,35.439003
-238.40201,34,35.467013
-482.9528,47,35.50153
-206.7147,22,35.535808
-376.91296,35,35.564417
-168.77872,55,35.591926
-204.02922,17,35.628943
-329.1279,19,35.662451
-234.6226,45,35.703485
-246.83264,27,35.730996
-212.79927,32,35.771021
-168.4888,46,35.801043
-212.03377,61,35.831055
-171.13083,30,35.867574
-277.62234,78,35.905087
-217.47638,32,35.951105
-207.16452,41,35.98764
-190.77878,30,36.022656
-291.92477,60,36.056171
-456.0527,79,36.092179
-188.81483,27,36.1312
-287.56482,72,36.183054
-192.72588,43,36.218574
-169.45842,40,36.252086
-375.9644,70,36.282597
-212.62474,42,36.315608
-135.43655,53,36.353132
-325.88794,19,36.388173
-190.7651,39,36.434693
-171.61736,24,36.465205
-270.72717,45,36.51072
-209.29182,45,36.540724
-243.3167,24,36.570742
-193.44139,58,36.600265
-163.51903,50,36.63529
-237.88724,26,36.671818
-237.65685,22,36.703338
-335.5151,33,36.738847
-975.2773,116,36.773876
-156.7879,56,36.822794
-303.50894,79,36.862855
-241.36632,38,36.862855
-630.5758,60,36.906879
-122.51052,50,36.94391
-219.17126,39,36.976443
-195.72055,24,37.012977
-263.99197,51,37.041485
-229.61084,33,37.089111
-151.64542,37,37.123127
-232.81026,30,37.153135
-491.78418,62,37.204653
-189.17139,37,37.237663
-283.9863,59,37.26617
-232.19298,89,37.29418
-50538.023,3729,37.326692
-532.98206,48,37.373214
-140.69308,51,37.412734
-160.83795,24,37.443253
-187.17221,34,37.481273
-202.77286,37,37.512784
-309.8591,19,37.53929
-191.44022,43,37.570805
-177.22638,21,37.607327
-262.26086,31,37.642344
-1405.1243,149,37.685857
-199.58864,31,37.715373
-354.76736,67,37.746379
-151.2874,35,37.773329
-290.02332,40,37.803354
-160.02252,52,37.844879
-145.83353,34,37.876386
-200.50435,46,37.908407
-201.63503,27,37.947429
-191.39546,35,37.976951
-225.0093,31,38.014061
-197.93059,34,38.044578
-210.89774,18,38.072583
-221.34619,47,38.101098
-223.95576,36,38.138619
-222.37459,36,38.167123
-320.3719,33,38.213122
-187.94064,35,38.244665
-244.27524,38,38.278678
-370.41574,40,38.322188
-139.31212,58,38.352198
-266.4848,31,38.394225
-155.86101,82,38.426769
-193.56075,43,38.457617
-626.5467,61,38.48363
-173.09187,25,38.51415
-441.0184,87,38.544159
-452.1337,34,38.581672
-186.48944,50,38.613692
-295.00113,21,38.648721
-307.17285,28,38.679235
-245.47131,26,38.706753
-205.27603,39,38.739265
-245.01097,26,38.767771
-281.71667,20,38.802277
-193.6976,39,38.83379
-319.40125,23,38.877795
-190.7079,28,38.914302
-420.28003,36,38.94681
-126.903275,52,38.981839
-248.10567,42,39.008342
-206.17114,47,39.035852
-191.8353,32,39.086389
-392.391,48,39.116408
-242.1355,27,39.15192
-295.51303,32,39.15192
-175.62737,25,39.183946
-284.73346,71,39.229958
-152.1829,42,39.258464
-255.64824,55,39.288477
-173.53839,31,39.322992
-186.44707,27,39.322992
-181.03214,29,39.361558
-225.19315,21,39.405569
-237.76971,42,39.44258
-290.83258,22,39.474599
-202.09329,46,39.507612
-157.86693,37,39.546625
-248.81915,32,39.580144
-196.34906,36,39.625657
-227.49907,48,39.662172
-212.98592,36,39.697706
-175.1395,30,39.731232
-206.12202,34,39.77025
-191.63205,32,39.804652
-217.99759,30,39.849151
-223.16125,19,39.884661
-205.77943,59,39.918672
-416.51245,37,39.956184
-370.7305,38,39.993205
-203.26927,53,40.024219
-138.07074,67,40.024719
-200.42657,30,40.064736
-142.32164,42,40.099258
-221.75757,65,40.129269
-174.20952,41,40.157779
-221.24738,40,40.191291
-370.16278,30,40.224302
-195.31471,26,40.257316
-183.29562,22,40.290333
-300.119,42,40.322849
-203.70645,46,40.352853
-368.6125,27,40.393867
-181.7826,46,40.427418
-215.18347,34,40.465964
-133.63889,41,40.503474
-309.10272,37,40.541207
-211.25912,20,40.57886
-148.56851,52,40.614863
-227.62953,32,40.644366
-204.00868,81,40.684892
-265.41125,30,40.723164
-137.49477,55,40.75217
-233.2648,33,40.794189
-124.8514,81,40.820697
-198.96245,21,40.853708
-207.51082,48,40.88822
-426.92697,64,40.88822
-228.98993,44,40.915725
-200.90027,25,40.956244
-386.7486,45,40.986765
-284.6225,20,41.014776
-262.34787,24,41.048786
-209.37839,27,41.048786
-223.89938,35,41.079796
-156.92903,34,41.123823
-214.61554,26,41.168419
-249.72337,28,41.199925
-253.90955,36,41.232428
-204.69649,48,41.271438
-214.94533,45,41.302957
-248.13931,42,41.342055
-162.98792,69,41.382562
-179.17902,46,41.424119
-199.90936,45,41.452137
-222.95898,37,41.51416
-414.58228,72,41.54367
-194.3786,53,41.570676
-186.83847,39,41.600187
-217.23816,38,41.631698
-247.96118,19,41.672215
-249.6113,20,41.702734
-140.22052,42,41.741261
-426.10687,105,41.76982
-1158.357,204,41.795851
-168.61229,55,41.839871
-278.5304,34,41.889891
-97.01314,73,41.926901
-441.62228,59,41.952911
-183.36949,17,41.989935
-661.2531,150,42.018945
-247.57448,39,42.049956
-444.5031,81,42.104478
-181.96913,43,42.133992
-519.1038,98,42.162016
-240.2729,42,42.195529
-234.44434,44,42.22404
-139.32733,55,42.255054
-224.59088,41,42.255054
-278.07202,20,42.291066
-566.50183,110,42.328092
-169.00505,29,42.367606
-186.23566,41,42.401117
-191.31975,40,42.433127
-148.12811,35,42.461137
-252.17055,21,42.500556
-299.57495,40,42.530568
-279.06595,34,42.561582
-192.99838,43,42.592093
-178.53128,22,42.629602
-179.66566,29,42.665114
-169.92535,32,42.695637
-239.30476,22,42.734678
-185.48332,33,42.765689
-254.51665,40,42.799238
-209.0995,43,42.827757
-260.3554,25,42.861267
-301.08386,34,42.893777
-224.14326,60,42.924287
-337.89633,67,42.949812
-282.69278,25,42.982819
-180.06683,27,43.01183
-197.12509,52,43.055353
-166.82155,27,43.081873
-396.50235,36,43.110394
-215.83698,42,43.142414
-215.92099,55,43.170921
-392.68762,31,43.170921
-259.08392,33,43.206946
-305.77332,39,43.245196
-246.13037,29,43.278211
-228.84142,27,43.308215
-249.5723,35,43.345732
-264.307,32,43.345732
-209.37927,28,43.377742
-221.73009,37,43.408766
-198.78506,14,43.442778
-301.63135,52,43.478796
-437.59,51,43.532315
-209.62175,47,43.574846
-158.6194,33,43.574846
-158.2813,42,43.601364
-165.39195,47,43.632374
-176.89261,63,43.669399
-174.19406,42,43.701917
-396.56818,75,43.735427
-208.26941,33,43.777451
-249.40784,28,43.805466
-207.361,47,43.841537
-248.94452,39,43.841537
-398.76007,24,43.874049
-383.1057,41,43.902053
-259.9891,41,43.946073
-290.8883,20,43.980618
-181.41515,46,44.016638
-158.70511,33,44.043143
-187.00252,30,44.072149
-295.98718,41,44.101658
-284.35922,24,44.149683
-220.3234,36,44.182195
-419.40176,68,44.220212
-272.73605,42,44.251222
-372.4596,21,44.28523
-373.79614,66,44.313241
-124.460266,80,44.34125
-151.50417,55,44.367758
-190.64209,53,44.396768
