#{"t_start": 1777878463.0504386, "env_id": "None"}
r,l,t
-187.0689,46,25.933602
-275.3303,27,25.963616
-214.91516,18,26.010138
-214.06435,30,26.050154
-110.49028,86,26.091118
-233.19586,46,26.132822
-172.9405,48,26.165344
-775.8753,161,26.194855
-142.86221,38,26.224365
-229.94173,22,26.258875
-303.81802,28,26.31239
-207.42163,40,26.350415
-216.63472,35,26.350415
-181.9611,71,26.388931
-260.7532,27,26.433953
-189.15605,25,26.467967
-201.26077,67,26.509991
-181.78346,42,26.554003
-349.08707,50,26.554003
-250.37794,34,26.586013
-393.12732,32,26.614529
-313.53302,21,26.646574
-202.12903,35,26.711133
-341.76196,30,26.744144
-447.28067,38,26.772661
-10756.435,930,26.803203
-189.41731,40,26.842721
-247.76437,21,26.889749
-247.95738,31,26.922771
-179.0039,25,26.958285
-184.5035,50,27.005329
-486.40466,80,27.038337
-147.84744,36,27.071856
-524.389,70,27.108868
-390.5568,47,27.143882
-374.2968,55,27.177397
-161.37337,39,27.209399
-127.139206,31,27.23841
-136.10252,41,27.273427
-160.94235,30,27.308439
-475.29016,32,27.351455
-294.22034,26,27.383471
-161.55618,31,27.41399
-442.20972,40,27.453999
-127.4219,51,27.48351
-244.30296,18,27.516025
-341.4519,38,27.545534
-223.07365,22,27.575044
-306.7902,45,27.619557
-256.81836,32,27.65808
-186.33014,38,27.694597
-286.24158,53,27.740112
-258.27225,66,27.778628
-170.24242,54,27.816647
-193.14505,52,27.851666
-222.66019,29,27.887189
-422.6284,47,27.887189
-164.51392,46,27.947208
-174.47987,35,27.983258
-357.01205,46,28.014473
-258.87613,49,28.054206
-274.2626,61,28.087716
-172.00838,34,28.131592
-124.5791,57,28.173777
-178.80208,30,28.218294
-323.03134,47,28.249337
-307.66446,22,28.277852
-193.09581,71,28.309882
-188.98888,30,28.361905
-207.29108,39,28.406421
-234.53731,42,28.433435
-210.7068,41,28.462456
-225.18982,36,28.510981
-681.4431,116,28.510981
-474.2973,23,28.543995
-203.77644,22,28.571017
-502.54047,34,28.608534
-146.76007,36,28.664565
-5199.4175,546,28.69958
-191.62411,51,28.744096
-167.66357,56,28.776608
-174.05388,75,28.822633
-173.33435,35,28.850651
-322.54736,72,35.113957
-137.213,53,35.144475
-411.67426,42,35.184108
-242.74449,52,35.218133
-614.7452,50,35.273741
-270.17026,64,35.310249
-156.9929,51,35.338762
-174.27467,71,35.380794
-181.52399,72,35.443393
-152.35689,74,35.481407
-168.53667,44,35.508421
-226.0355,54,35.54143
-156.28065,44,35.571971
-282.938,20,35.601483
-789.6661,62,35.637002
-131.79327,28,35.674526
-18859.09,2043,35.712029
-242.03177,36,35.748307
-207.04736,50,35.777438
-234.2312,44,35.819955
-272.96967,64,35.856965
-192.1167,76,35.900982
-374.86743,43,35.933492
-277.28442,31,35.967022
-221.02351,43,36.018051
-229.74777,24,36.047564
-245.1793,75,36.090687
-172.1737,49,36.128211
-239.03018,21,36.154721
-271.83917,104,36.189395
-141.46829,60,36.231408
-220.21085,37,36.276428
-167.8268,37,36.302944
-374.31143,51,36.332454
-213.28807,36,36.371464
-150.59122,50,36.398481
-135.52518,91,36.4435
-294.85822,40,36.483513
-175.30159,24,36.512023
-204.06259,38,36.537532
-121.43465,46,36.565546
-167.0911,30,36.592551
-213.3837,18,36.634574
-208.1,29,36.663588
-220.33073,21,36.691606
-221.37213,27,36.721609
-312.87143,27,36.777643
-247.22772,30,36.807653
-151.35408,51,36.845182
-239.11024,65,36.890212
-153.87582,31,36.92741
-670.5418,63,36.962927
-147.30847,40,36.991952
-155.00444,76,37.02646
-284.79242,44,37.057976
-252.92793,36,37.094007
-170.0687,41,37.138542
-335.8564,29,37.16556
-217.0927,47,37.206578
-138.79176,36,37.256598
-547.06085,74,37.291108
-160.48547,59,37.328157
-144.69661,30,37.328157
-189.37045,69,37.381177
-249.45218,41,37.420226
-214.40848,34,37.451733
-307.62405,44,37.48827
-273.4822,44,37.551369
-190.71149,43,37.591879
-366.63895,56,37.631896
-339.8204,95,37.676936
-176.88828,55,37.677436
-345.39917,36,37.715954
-229.48157,41,37.755969
-179.99532,35,37.789987
-199.14737,41,37.836004
-155.39417,47,37.875015
-195.62683,32,37.921539
-151.06436,52,37.953048
-280.6739,37,38.001575
-196.05019,55,38.001575
-160.36449,27,38.036085
-143.7969,42,38.067613
-174.83513,18,38.107128
-183.84816,46,38.151653
-281.29156,32,38.211184
-301.54495,42,38.241697
-216.86314,28,38.274211
-403.00195,54,38.30722
-338.0885,74,38.347244
-195.25162,26,38.386254
-234.68997,36,38.419779
-2676.5413,327,38.419779
-209.0099,40,38.467312
-310.29797,38,38.510834
-253.01514,31,38.541871
-143.18138,63,38.571406
-175.1292,28,38.628433
-169.66673,40,38.65794
-129.08559,63,38.692461
-336.72256,69,38.726471
-211.00446,52,38.776031
-134.67169,35,38.822059
-154.24121,58,38.878081
-246.83527,52,38.909014
-163.18298,48,38.952527
-476.33932,105,38.987549
-414.4272,61,39.031559
-217.79466,42,39.05907
-187.92259,87,39.092092
-287.29163,34,39.12711
-241.86258,39,39.165632
-148.31932,61,39.192642
-204.62912,31,39.227656
-228.21506,44,39.273174
-124.03153,33,39.309427
-149.78638,45,39.341086
-304.41885,31,39.376096
-175.1448,52,39.412134
-215.40305,77,39.438664
-297.37585,22,39.469178
-416.38474,28,39.506191
-238.5755,37,39.567718
-201.56259,37,39.599231
-145.68005,70,39.628245
-132.6511,60,39.663259
-191.97337,53,39.702276
-242.92177,42,39.76229
-242.3461,49,39.791302
-170.62027,63,39.832831
-244.177,46,39.863346
-132.33414,72,39.892856
-233.74713,36,39.94188
-323.8686,37,39.971444
-705.3178,128,40.000965
-207.95525,28,40.038482
-180.65234,37,40.065692
-206.47205,37,40.096846
-12838.085,1442,40.132379
-220.31668,21,40.1634
-229.17545,23,40.209909
-177.34833,38,40.245933
-166.12875,32,40.286465
-354.3692,41,40.318475
-125.4868,70,40.367035
-155.53503,51,40.401045
-153.70712,53,40.45206
-308.3305,79,40.495578
-309.3406,31,40.523511
-246.65437,40,40.558533
-136.41881,65,40.592543
-292.46106,27,40.631562
-206.9142,24,40.671074
-163.94794,38,40.703088
-149.35997,56,40.736609
-247.7275,26,40.793126
-190.80008,41,40.828642
-171.26678,29,40.860652
-354.1587,79,40.912674
-176.54294,39,40.968222
-265.95877,73,41.008254
-360.26166,50,41.039768
-140.31339,48,41.087292
-201.13292,31,41.120295
-1926.4874,205,41.153301
-197.3888,26,41.180819
-195.94073,32,41.239855
-219.25893,26,41.272859
-810.99817,110,41.309382
-144.43546,41,41.340765
-189.76117,65,41.36928
-190.0362,19,41.407792
-169.23198,54,41.445321
-163.86205,25,41.481329
-154.7641,49,41.535354
-183.54442,32,41.568373
-281.26752,27,41.597885
-198.01619,66,41.635895
-303.63425,59,41.676412
-275.96152,34,41.720937
-187.92094,99,41.753956
-157.56789,34,41.791477
-149.47983,45,41.821985
-215.09108,44,41.850006
-130.88007,47,41.903529
-200.39693,38,41.941047
-228.37839,46,41.984082
-198.3476,60,42.011595
-142.9312,50,42.040606
-202.26044,36,42.075684
-222.15796,57,42.105717
-227.11555,35,42.140235
-420.78568,32,42.185751
-189.27205,30,42.214261
-223.7942,29,42.254285
-166.8983,44,42.281287
-171.71169,37,42.311798
-173.77788,25,42.353317
-167.7838,45,42.385327
-173.37808,25,42.41534
-200.55722,29,42.448352
-257.1669,47,42.499366
-164.16306,43,42.547889
-230.7455,48,42.581453
-213.49348,38,42.581453
-426.2262,79,42.612964
-128.30557,75,42.66799
-284.83463,27,42.697998
-206.37682,49,42.738519
-204.54697,33,42.769029
-368.4979,42,42.810542
-224.97516,53,42.857065
-342.6208,17,42.897095
-187.2909,44,42.93912
-212.7669,38,42.970147
-186.58882,46,43.004164
-229.27228,37,43.057662
-216.91122,35,43.097687
-380.4845,27,43.134701
-171.77249,31,43.169204
-243.45387,38,43.203223
-186.29713,31,43.246236
-262.37796,31,43.297271
-260.40372,48,43.331284
-448.86584,115,43.362797
-168.76425,51,43.393309
-328.21805,33,43.419828
-206.70271,29,43.462349
-128.57451,75,43.49186
-224.20935,43,43.527875
-155.67775,38,43.567393
-171.35498,40,43.595904
-165.70909,50,43.627923
-147.9287,21,43.680435
-236.29099,40,43.708453
-249.5132,50,43.740964
-197.54483,34,43.773973
-495.36835,66,43.818499
-222.95523,52,43.857044
-206.2742,28,43.884557
-250.99786,36,43.932096
-193.04132,18,43.932096
-19651.021,1763,43.968121
-186.5777,23,43.999135
-198.44572,54,44.03365
-174.28636,52,44.084677
-162.87112,42,44.119702
-161.84981,35,44.119702
-301.89594,31,44.146735
-162.2293,44,44.173245
-92.21911,98,44.227271
-242.05386,18,44.227271
-259.58246,52,44.270286
-234.77075,31,44.2998
-7137.1353,820,44.330806
-210.72055,47,44.370059
-221.73624,16,44.40659
-283.39136,52,44.438606
-157.78287,39,44.47012
-152.51166,58,44.496628
-164.36829,25,44.526141
-163.02057,50,44.564169
-184.56563,30,44.61368
-235.84317,36,44.651197
-498.2248,72,44.684704
-349.72296,60,44.718219
-278.03198,43,44.747237
-163.21317,38,51.462773
-180.79005,82,51.490287
-340.80234,80,51.526293
-222.54419,39,51.553803
-283.35992,36,51.582804
-172.95372,86,51.613815
-184.54388,36,51.642824
-229.93956,25,51.694853
-148.11581,39,51.741868
-642.97955,65,51.773383
-204.05757,55,51.811432
-165.08438,49,51.84796
-268.37018,46,51.882466
-369.1379,73,51.921479
-174.01357,66,51.963005
-185.06392,23,51.999544
-242.97758,39,52.02756
-176.4789,39,52.065592
-260.413,34,52.104128
-264.5508,24,52.104128
-194.73853,64,52.136146
-125.40853,39,52.188227
-182.06653,72,52.218735
-159.89288,34,52.268086
-160.81543,34,52.268086
-165.03378,34,52.300842
-214.30283,58,52.337857
-151.616,33,52.395379
-589.66327,127,52.395379
-203.38539,67,52.439404
-182.13809,26,52.439404
-164.62537,40,52.439404
-154.61748,30,52.480416
-180.46445,36,52.513928
-217.95996,36,52.552942
-198.87828,18,52.583462
-186.74924,29,52.628491
-256.88147,37,52.656496
-154.64865,37,52.693516
-182.26427,54,52.737537
-161.43387,39,52.765542
-191.44247,22,52.795059
-197.19566,49,52.832584
-197.9387,43,52.864599
-153.50032,28,52.903622
-151.92683,50,52.937128
-246.28978,26,52.970655
-140.09409,52,53.011165
-146.65857,41,53.048226
-199.26955,33,53.082737
-184.45255,36,53.082737
-138.44049,43,53.113261
-217.67111,42,53.16482
-276.39374,46,53.191835
-193.81393,42,53.241364
-199.13017,35,53.270875
-212.50676,55,53.302886
-174.73987,38,53.337403
-216.4334,44,53.369649
-289.29288,46,53.404163
-164.46039,31,53.463716
-161.73611,29,53.463716
-160.7049,27,53.495726
-174.49353,54,53.527243
-252.21529,30,53.559758
-155.9908,59,53.594787
-388.894,40,53.62681
-191.56682,44,53.663333
-284.3687,29,53.711855
-155.68881,27,53.744861
-302.8021,19,53.779875
-190.07014,44,53.820399
-280.84106,39,53.867928
-179.74197,42,53.896443
-168.4692,47,53.92595
-334.5893,43,53.95846
-211.15459,39,53.994485
-310.25055,35,54.023992
-204.61707,43,54.055005
-208.83597,22,54.092532
-152.89131,38,54.138058
-337.76675,39,54.175587
-186.28465,49,54.175587
-249.01201,33,54.217597
-160.5838,34,54.255116
-232.86693,58,54.292141
-141.15988,30,54.328182
-170.54805,34,54.364197
-184.3868,36,54.39471
-174.51216,60,54.425222
-196.92137,24,54.456747
-173.99118,30,54.496761
-145.90608,72,54.538787
-194.22379,25,54.56933
-150.49756,28,54.607874
-245.97015,31,54.641396
-158.79176,44,54.671898
-172.48727,38,54.671898
-227.12857,65,54.70292
-270.6873,25,54.745444
-192.71605,27,54.776957
-231.70966,40,54.805978
-275.68314,33,54.843992
-181.89732,31,54.883011
-174.37538,33,54.883011
-145.25089,34,54.914034
-203.53748,44,54.95355
-210.38571,28,54.997586
-199.5963,33,55.038117
-192.00859,37,55.076135
-167.8358,59,55.105649
-146.26106,57,55.134156
-203.90092,48,55.173179
-252.24109,68,55.211189
-178.3632,17,55.243707
-220.08864,21,55.297233
-176.12311,63,55.297733
-265.6298,36,55.297733
-236.37808,36,55.335747
-182.20987,45,55.366272
-225.46402,63,55.392936
-187.28142,55,55.426951
-183.2492,49,55.473469
-217.5096,33,55.504982
-211.491,37,55.542151
-192.61093,29,55.571159
-177.00035,30,55.603672
-149.75333,44,55.635192
-159.82904,37,55.670222
-185.40479,38,55.670722
-209.24155,34,55.726227
-226.19345,38,55.75974
-184.61484,35,55.791754
-194.87851,30,55.827264
-201.62949,43,55.863279
-187.16524,25,55.900289
-176.55612,20,55.932804
-257.56348,53,55.964345
-199.52231,63,55.994855
-139.87027,71,56.021868
-224.091,38,56.050882
-180.0005,34,56.086889
-165.29124,51,56.113398
-228.20377,41,56.160429
-243.84152,27,56.188946
-294.71582,46,56.228885
-237.01097,41,56.258403
-313.13,60,56.295415
-269.2136,28,56.331432
-271.4985,50,56.331432
-230.71992,28,56.358941
-199.49057,43,56.389957
-245.7056,22,56.424978
-166.7808,54,56.455991
-197.381,35,56.492005
-198.91306,26,56.525522
-225.7368,32,56.561039
-273.11862,33,56.589073
-279.89456,47,56.627687
-179.67729,42,56.655695
-148.47778,43,56.692217
-167.60233,25,56.728754
-270.09427,31,56.765312
-148.95663,50,56.765312
-223.96652,40,56.794322
-240.80446,51,56.831844
-204.61903,32,56.865858
-279.41092,23,56.865858
-259.99112,35,56.901375
-234.77524,34,56.951407
-162.49652,53,56.995441
-182.6854,52,57.03095
-195.17493,48,57.076501
-206.52594,29,57.109523
-181.1981,51,57.140056
-143.93178,63,57.16908
-158.76523,73,57.215105
-223.6231,44,57.259126
-155.6922,37,57.294138
-214.37144,51,57.329654
-728.23254,93,57.363164
-155.40297,52,57.40018
-167.41905,52,57.432711
-150.56635,58,57.469555
