#{"t_start": 1778794156.4562166, "env_id": "None"}
r,l,t
-289.55994,37,58.055938
-207.27423,70,58.087553
-217.38158,22,58.118342
-164.04646,47,58.156188
-188.71864,28,58.190114
-168.8779,35,58.223831
-231.27739,26,58.255434
-170.14336,38,58.289258
-299.1825,25,58.323312
-240.6754,20,58.362175
-239.68013,17,58.362175
-231.56163,66,58.390802
-275.04034,32,58.420532
-330.58676,24,58.462556
-225.84317,22,58.504362
-266.84143,30,58.537681
-176.03221,75,58.570887
-397.29413,39,58.570887
-211.52815,35,58.601488
-184.45372,21,58.638386
-197.37796,20,58.668494
-181.96185,20,58.701642
-277.15115,29,58.729355
-225.65329,56,58.767774
-315.81143,47,58.803148
-170.90681,35,58.835509
-263.7004,27,58.862751
-354.0417,86,58.891323
-173.528,39,58.932412
-205.88513,22,58.981146
-232.28,27,58.981146
-225.41028,24,58.981146
-187.01746,31,59.011858
-306.28397,53,59.053889
-172.4918,31,59.090663
-191.6895,22,59.120278
-305.9964,27,59.150903
-595.06775,92,59.185733
-179.49596,39,59.216371
-223.86893,46,59.248234
-203.6542,22,59.275943
-189.92612,36,59.314892
-252.7343,22,59.354968
-300.8708,36,59.388755
-235.20412,63,59.417361
-191.31995,30,59.443996
-202.16357,36,59.485973
-177.39465,26,59.523837
-252.85794,27,59.551523
-234.96468,43,59.592404
-488.31586,58,59.630243
-413.92755,98,59.66201
-961.96704,112,59.690644
-153.19531,36,59.724503
-189.89963,28,59.755168
-158.06125,46,59.78581
-246.3797,20,59.813425
-185.27507,59,59.842042
-235.85652,36,59.879961
-411.9162,28,59.905396
-175.67021,24,59.936107
-251.44415,27,59.982329
-219.05077,33,60.016236
-166.36325,28,60.050133
-230.79396,27,60.084098
-161.86026,47,60.084098
-200.12842,49,60.119029
-271.09406,17,60.159996
-330.20123,21,60.191012
-213.1828,28,60.218595
-197.39844,58,60.254312
-260.38623,28,60.29017
-4546.9175,496,60.325995
-208.72783,47,60.363221
-194.54517,29,60.389845
-200.29428,34,60.422603
-170.87068,30,60.451881
-207.25589,22,60.490724
-264.50113,42,60.521465
-152.4648,26,60.552248
-275.9186,66,60.590273
-331.92426,27,60.620091
-180.76955,43,60.646669
-179.84392,42,60.676292
-410.22552,25,60.715084
-234.79877,25,60.749842
