#{"t_start": 1778795877.6988792, "env_id": "None"}
r,l,t
-292.36868,23,31.586718
-27151.916,2237,31.661757
-166.04988,82,31.702581
-604.9819,75,31.758455
-277.57483,44,31.807541
-485.0252,63,31.841184
-210.17908,28,31.891536
-341.2952,54,31.930005
-210.38623,68,32.033749
-728.5596,79,32.063441
-339.78174,29,32.117661
-651.34454,142,32.164058
-316.60645,44,32.195004
-4027.9497,391,32.226873
-221.06696,22,32.269947
-254.61023,36,32.319026
-14790.394,1538,32.348722
-203.62114,27,32.380527
-166.28503,26,32.440435
-556.1958,41,32.483408
-497.45868,52,32.523314
-672.9083,136,32.576586
-290.26758,43,32.614938
-192.4489,40,32.650732
-214.37,30,32.69691
-163.69406,26,32.732748
-499.9332,104,32.783052
-508.33716,46,32.83228
-221.25096,82,32.877615
-230.69461,56,32.922992
-453.6842,100,32.961936
-494.94485,75,33.018373
-171.16428,33,33.049078
-363.23984,79,33.091173
-580.3454,80,33.136399
-154.83142,47,33.178405
-6860.71,787,33.220306
-356.36276,31,33.253428
-566.8397,68,33.283658
-383.143,55,33.314296
-206.19658,40,33.353547
-245.73363,31,33.401785
-409.29446,57,33.448002
-221.27026,20,33.482982
-205.11337,49,33.527012
-433.89722,62,33.555712
-220.68791,21,33.587663
-621.0685,84,33.629652
-270.65128,29,33.629652
-537.73047,61,33.706485
-201.7787,44,33.706485
-365.57047,62,33.734343
-284.23282,55,33.77262
-385.42776,17,33.804352
-465.58105,94,33.85077
-279.4233,40,33.88049
-178.5436,35,33.914099
-182.81395,51,33.952591
-225.93192,36,33.952591
-342.7433,29,34.003416
-166.55806,36,34.031027
-416.17218,48,34.067934
-436.4862,48,34.115269
-155.93483,43,34.164557
-300.9758,68,34.19527
-229.30045,29,34.254942
-291.4647,48,34.299985
-425.26636,94,34.331789
-583.0914,84,34.331789
-353.57037,39,34.377012
-583.45496,97,34.414975
-254.04318,31,34.446799
-494.46948,72,34.514401
-347.48663,43,34.543409
-172.61795,44,34.571004
-457.36282,84,34.607658
-1012.8117,83,34.655765
-273.39288,50,34.707128
-216.72177,56,34.737164
-314.65012,38,34.806951
-519.33575,94,34.837936
-320.07138,92,34.875741
-238.50583,58,34.907797
-496.46658,90,34.942764
-214.77972,34,34.975772
-177.05069,27,35.014521
-167.47475,52,35.050502
-234.95735,31,35.082206
-224.55676,55,35.117036
-178.40721,29,35.150852
-249.08281,26,35.200098
-289.9873,65,35.233336
-385.25684,72,35.289159
-353.8826,40,35.323374
-428.3964,87,35.368829
-264.3133,55,35.405614
-164.93181,45,35.450899
-228.899,52,35.518113
-180.66267,37,35.54584
-21010.318,1841,35.581096
-425.74344,66,35.581096
-583.29486,98,35.626416
-216.41597,27,35.656052
-339.6029,27,35.687857
-613.30237,184,35.734041
-428.93823,53,35.768265
-320.06778,28,35.768265
-383.53943,52,35.798015
-325.19864,54,35.8456
-484.89777,38,35.886623
-552.3882,60,35.913303
-251.74942,43,35.943004
-431.01312,61,35.993297
-226.50278,31,36.029475
-513.6481,22,36.073477
-290.71524,23,36.114745
-431.3874,69,36.142421
-306.16016,92,36.172406
-387.55554,23,36.211587
-368.44342,71,36.256077
-830.5341,73,36.256077
-231.32486,30,36.299362
-185.94296,36,36.329093
-335.25006,33,36.376231
-263.6674,33,36.420454
-237.35289,64,36.45629
-273.5964,31,36.494662
-403.278,83,36.545097
-517.3526,78,36.583224
-389.4628,38,36.61463
-400.8976,54,36.666933
-348.79895,37,36.698773
-673.0284,140,36.698773
-227.60767,72,36.730862
-198.6642,40,36.776365
-204.7991,40,36.834068
-188.33,48,36.870126
-195.90636,45,36.898951
-543.39624,79,36.929955
-17062.61,1652,36.959692
-386.30875,58,36.992231
-196.81,45,37.025164
-217.76062,28,37.064418
-170.83958,25,37.108697
-239.12912,37,37.14144
-467.5635,51,37.175555
-255.72102,45,37.213521
-194.95305,63,37.246344
-296.54657,54,37.285273
-392.14487,73,37.314174
-194.98499,35,37.350153
-282.78513,33,37.388343
-271.8205,20,37.416086
-415.87814,39,37.445015
-271.11603,58,37.510853
-612.6208,98,37.537456
-529.28125,101,37.574372
-274.82782,62,37.61735
-168.91603,29,37.645754
-435.37833,77,37.686764
-187.5922,35,37.719397
-250.17075,72,37.77181
-653.8878,122,37.798605
-275.47665,55,37.836638
-220.9165,54,37.869427
-161.59525,42,37.901741
-184.98462,60,37.940059
-302.37088,44,37.983188
-184.20802,47,38.009969
-202.07838,34,38.038592
-340.07614,51,38.07846
-414.7571,56,38.11143
-384.04123,51,38.15551
-193.21094,39,38.204988
-340.15707,44,38.204988
-259.41455,42,38.253187
-404.36273,29,38.297335
-369.84073,76,38.325999
-429.2169,63,38.360999
-248.16394,26,38.38983
-406.46808,59,44.639504
-193.50061,57,44.672824
-177.24094,61,44.704772
-652.8396,104,44.735376
-208.43405,28,44.784543
-209.73352,36,44.824436
-283.6411,112,44.852366
-231.45976,19,44.88119
-172.2631,40,44.908783
-641.13116,77,44.964672
-1758.9436,186,44.996505
-183.9231,33,45.024077
-224.45503,42,45.056649
-242.52994,48,45.093378
-145.66516,55,45.124134
-337.35974,35,45.17761
-230.1644,33,45.208551
-449.62238,54,45.26097
-206.51865,60,45.26097
-320.2247,49,45.300953
-191.58405,48,45.367572
-458.16687,76,45.411585
-179.41545,22,45.446434
-301.93552,71,45.478198
-366.51727,72,45.519196
-479.26495,106,45.548183
-206.20921,30,45.584133
-224.71877,30,45.628576
-179.93997,31,45.628576
-156.47015,150,45.666753
-183.81375,35,45.721557
-247.5196,54,45.755358
-215.52881,42,45.787072
-294.64474,62,45.824346
-310.84665,31,45.868428
-442.326,85,45.907162
-301.35687,56,45.964188
-469.79993,96,45.993669
-206.0471,68,46.020978
-435.4679,84,46.059936
-203.90134,51,46.090628
-185.58078,37,46.13688
-447.3263,48,46.172375
-295.18527,45,46.204911
-167.76367,91,46.236977
-188.87592,36,46.265704
-362.2122,55,46.323087
-186.7726,34,46.35388
-192.0551,45,46.383574
-251.38145,52,46.430736
-185.52058,27,46.456298
-266.85196,28,46.492077
-438.2788,67,46.522279
-174.40535,31,46.570278
-205.94061,25,46.598196
-306.52472,64,46.635373
-399.08133,100,46.673359
-201.49011,57,46.710221
-193.14062,25,46.753268
-186.4996,45,46.783927
-453.19125,53,46.833163
-290.92014,43,46.86813
-362.13794,125,46.933137
-163.97629,61,46.960793
-345.5096,72,46.991472
-375.39185,69,47.039539
-200.41104,30,47.072581
-145.12746,73,47.108981
-212.53381,29,47.162272
-464.1644,61,47.194557
-468.93658,72,47.239079
-203.16637,27,47.274907
-254.93367,62,47.306266
-153.03357,35,47.342806
-319.115,64,47.374127
-224.69443,27,47.410717
-1811.5997,223,47.453925
-351.55792,43,47.496822
-228.32867,47,47.528629
-336.13754,40,47.56239
-321.38593,42,47.594076
-197.22673,29,47.650432
-457.93912,80,47.696909
-238.29123,71,47.724745
-386.44815,58,47.753305
-202.0808,62,47.780959
-242.32837,57,47.816396
-151.75839,41,47.860559
-299.63525,22,47.888901
-293.42136,29,47.930386
-161.07957,33,47.964034
-308.8259,42,48.002437
-204.72536,27,48.034701
-162.07526,40,48.073565
-206.25008,36,48.123022
-188.77217,38,48.123022
-181.23097,87,48.179833
-247.29222,39,48.209507
-266.81897,29,48.239124
-193.30428,57,48.293861
-207.84975,46,48.336875
-456.42404,106,48.367464
-176.70786,29,48.406413
-163.36485,117,48.443457
-259.9063,22,48.492926
-229.4741,37,48.492926
-189.03827,82,48.520875
-178.18282,23,48.573253
-356.6055,53,48.622521
-165.36415,51,48.668706
-593.617,132,48.698079
-229.43005,22,48.736387
-427.61453,61,48.762531
-182.9377,67,48.823833
-199.72362,34,48.856593
-211.08044,49,48.893024
-455.94434,56,48.94046
-153.15614,36,48.979505
-203.90108,27,49.012459
-1611.0891,169,49.050344
-212.14697,28,49.096134
-260.6964,40,49.126955
-171.43707,38,49.16692
-447.1911,90,49.219393
-270.8349,32,49.254291
-265.45697,72,49.305843
-245.06505,44,49.334456
-244.23459,42,49.377488
-284.62085,46,49.417941
-16299.759,1478,49.417941
-218.24261,20,49.454798
-215.05673,59,49.509158
-141.73851,38,49.538861
-316.98395,70,49.57227
-329.50842,48,49.616776
-196.43633,21,49.616776
-151.79572,69,49.653185
-218.1862,45,49.686563
-263.43347,33,49.741008
-278.61203,51,49.774727
-198.74178,56,49.810531
-262.8169,40,49.839191
-185.23601,27,49.878072
-235.38814,87,49.913443
-243.86061,40,49.964138
-380.0816,58,50.003209
-190.54103,36,50.032868
-201.98079,50,50.068844
-211.1835,64,50.097569
-281.8382,20,50.141541
-182.7906,34,50.172223
-2663.9304,291,50.207016
-310.66516,30,50.254119
-187.88585,36,50.291992
-332.22357,81,50.333019
-206.99179,69,50.358597
-631.9767,112,50.407928
-300.71298,62,50.438665
-228.7933,29,50.473445
-281.80692,45,50.509226
-201.3392,48,50.578118
-691.05304,98,50.621141
-148.53406,52,50.659097
-233.24947,26,50.690902
-195.31245,79,50.730829
-541.50275,108,50.764682
-193.10635,40,50.800653
-226.64957,89,50.82825
-240.4685,40,50.859986
-200.51587,22,50.900835
-217.64241,34,50.934642
-278.7626,49,50.973982
-196.21469,36,51.013382
-238.37009,33,51.053866
-411.85205,57,51.082567
-208.08371,32,51.112609
-310.07062,30,51.147723
-318.83136,102,51.192368
-245.88786,21,51.221532
-187.83015,37,51.249051
-232.34744,21,51.298119
-32871.39,3395,51.332033
-181.22441,31,51.36371
-252.29031,54,51.398569
-193.52092,23,51.438421
-185.31184,76,51.46704
-248.75719,26,51.495679
-481.66226,80,51.525038
-295.5996,31,51.578559
-178.75464,26,51.605196
-166.03241,91,51.636006
-296.2377,41,51.670983
-249.0141,43,51.705858
-305.34607,77,51.705858
-149.43184,22,51.745946
-197.2387,28,51.786071
-431.81067,47,51.82624
-272.40433,22,51.855305
-183.32965,41,51.891198
-248.41777,65,51.923917
-263.401,65,51.972304
-214.15097,43,51.972304
-136.666,37,52.004161
-280.03247,48,52.04621
-161.4504,42,52.074861
-160.74728,47,52.113076
-363.27698,52,52.167974
-199.35527,58,52.202345
-203.47885,47,52.233511
-372.93256,49,52.267372
-450.5822,91,52.32684
-158.3382,33,52.355765
-250.84505,36,52.390808
-219.0423,66,52.434817
-422.2947,96,52.474827
-222.68936,37,52.5091
-189.4487,44,52.546727
-743.03845,90,52.583609
-191.02036,33,52.616515
-172.09161,32,52.653201
-277.35117,26,52.696772
-166.3126,45,52.727414
-277.83615,20,52.753977
-466.89392,47,52.787847
-206.95744,38,52.817641
-285.26273,96,52.861827
-254.23593,22,52.861827
-180.81136,42,58.839607
-195.64746,21,58.869845
-238.45282,33,58.897918
-156.5494,38,58.94417
-257.2254,52,58.94417
-231.20715,18,58.993956
-282.32916,36,59.025529
-345.233,44,59.055948
-227.94408,103,59.106177
-206.52792,51,59.143265
-367.1292,78,59.186494
-222.02472,16,59.220436
-239.87834,51,59.261216
-249.78897,47,59.262234
-181.93535,52,59.262234
-183.78812,40,59.307314
-206.57376,18,59.337018
-222.08704,41,59.392081
-229.93852,59,59.433545
-176.84009,58,59.47038
-227.53851,45,59.496918
-227.67523,31,59.556484
-214.56543,34,59.586785
-164.60571,59,59.636989
-6037.169,548,59.668814
-11576.142,1228,59.711955
-529.68604,133,59.745762
-199.75592,40,59.745762
-302.89877,36,59.789913
-354.12323,110,59.819746
-193.6003,28,59.853631
-181.8935,32,59.886363
-233.30551,21,59.923184
-480.3878,90,59.968393
-350.32547,53,59.994078
-189.65137,27,60.025779
-249.85736,30,60.063138
-188.43489,54,60.102527
-202.14584,23,60.102527
-169.44048,65,60.142465
-148.54022,50,60.18451
-241.08167,29,60.209015
-202.11107,39,60.242516
-185.5259,56,60.278901
-242.02615,47,60.315152
-222.32175,20,60.348917
-251.17847,41,60.383875
-241.77219,29,60.416186
